win%,rpg,runs,2b,3b,hr,rbi,bb,so,batting avg,obp,slg,ops,tb,era,tshutout,saves,HRa,Ks,whip,po,a,e,dp,fld%,
0.426,4.64,752,285,56,190,709,463,1427,0.261,0.32,0.432,0.752,2446,5.09,7,31,202,1318,1.492,4354,1663,101,143,0.983,
0.422,4.03,649,295,27,122,615,502,1240,0.255,0.321,0.384,0.705,2119,4.51,9,39,177,1227,1.355,4343,1565,101,134,0.983,
0.549,4.59,744,265,6,253,710,468,1324,0.256,0.317,0.443,0.76,2449,4.22,9,54,183,1248,1.364,4296,1579,80,165,0.987,
0.574,5.42,878,343,25,208,836,558,1160,0.282,0.348,0.461,0.81,2615,4,5,43,176,1362,1.273,4319,1427,75,139,0.987,
0.64,4.99,808,293,30,199,767,656,1339,0.256,0.343,0.429,0.772,2359,3.15,15,38,163,1441,1.11,4379,1635,101,116,0.983,
0.481,4.23,686,277,33,168,656,455,1285,0.257,0.317,0.41,0.727,2275,4.1,10,43,185,1270,1.343,4340,1536,95,148,0.984,
0.42,4.42,716,277,33,164,678,452,1284,0.256,0.316,0.408,0.724,2238,4.91,8,28,258,1241,1.451,4326,1549,102,142,0.983,
0.584,4.83,777,308,29,185,733,531,1246,0.262,0.329,0.43,0.759,2356,3.84,11,37,186,1398,1.239,4337,1608,89,126,0.985,
0.463,5.22,845,318,47,204,805,494,1330,0.275,0.336,0.457,0.794,2568,4.91,9,37,181,1223,1.455,4288,1749,110,148,0.982,
0.534,4.66,750,252,30,211,719,493,1303,0.267,0.331,0.438,0.769,2421,4.24,8,47,182,1232,1.316,4284,1537,75,148,0.987,
0.519,4.47,724,291,29,198,689,554,1452,0.247,0.319,0.417,0.735,2310,4.06,8,44,181,1396,1.29,4404,1599,77,135,0.987,
0.5,4.17,675,264,33,147,640,382,1224,0.261,0.312,0.4,0.712,2221,4.21,7,41,206,1287,1.354,4320,1526,94,134,0.984,
0.457,4.43,717,279,20,156,686,471,991,0.26,0.322,0.405,0.726,2197,4.28,12,29,208,1136,1.392,4264,1483,97,148,0.983,
0.562,4.48,725,272,21,189,680,525,1321,0.249,0.319,0.409,0.728,2257,3.7,15,47,165,1510,1.191,4359,1448,80,101,0.986,
0.491,4.07,655,259,42,128,626,447,1213,0.263,0.322,0.394,0.716,2187,4.05,12,55,152,1379,1.361,4305,1506,86,137,0.985,
0.451,4.14,671,249,19,194,641,599,1543,0.244,0.322,0.407,0.729,2168,4.08,7,46,178,1175,1.382,4303,1671,136,145,0.978,
0.364,4.46,722,288,35,200,690,513,1426,0.251,0.316,0.421,0.738,2367,5.08,3,26,221,1191,1.453,4329,1610,126,172,0.979,
0.537,4.14,671,240,19,218,649,517,1302,0.246,0.316,0.417,0.733,2274,3.57,13,55,152,1396,1.269,4341,1519,90,138,0.985,
0.519,4.2,680,245,20,183,647,475,1188,0.252,0.315,0.405,0.72,2212,4.16,10,48,214,1393,1.262,4285,1536,86,116,0.985,
0.426,4.03,653,270,21,169,634,442,1145,0.246,0.304,0.395,0.699,2171,4.51,7,42,185,1188,1.342,4300,1630,97,152,0.984,
0.438,3.77,610,231,35,161,574,424,1376,0.24,0.301,0.384,0.685,2089,4.63,12,43,213,1299,1.346,4311,1503,97,142,0.984,
0.484,4.5,729,277,32,153,696,561,1334,0.257,0.332,0.402,0.734,2226,4.21,5,51,180,1232,1.395,4352,1745,111,172,0.982,
0.42,4.23,686,257,26,177,654,449,1500,0.235,0.299,0.39,0.689,2115,4.43,9,35,183,1222,1.385,4320,1623,109,165,0.982,
0.531,4.74,768,251,17,223,735,506,1288,0.259,0.326,0.43,0.756,2400,4,8,49,213,1318,1.283,4371,1575,89,158,0.985,
0.537,4.41,715,280,54,130,675,572,1107,0.258,0.329,0.398,0.728,2215,3.65,11,43,158,1309,1.214,4381,1639,72,136,0.988,
0.531,4.81,779,299,32,225,745,526,1318,0.255,0.325,0.442,0.767,2453,4.08,10,38,159,1290,1.317,4345,1747,107,169,0.983,
0.42,4.15,672,288,32,216,647,449,1482,0.243,0.307,0.426,0.733,2333,4.2,8,42,210,1357,1.322,4279,1410,94,129,0.984,
0.586,4.72,765,257,23,215,746,436,1220,0.262,0.322,0.433,0.755,2394,4.37,6,56,201,1154,1.369,4329,1655,97,190,0.984,
0.549,4.69,759,276,18,221,728,632,1362,0.248,0.33,0.426,0.755,2333,3.78,10,43,183,1314,1.234,4378,1622,88,144,0.986,
0.586,4.71,763,268,29,203,735,536,1252,0.256,0.326,0.426,0.751,2338,3.51,12,46,155,1476,1.192,4379,1425,73,142,0.988,
0.488,4.44,720,289,48,154,680,490,1312,0.264,0.324,0.414,0.738,2341,4.04,12,44,182,1215,1.33,4400,1697,86,146,0.986,
0.414,3.54,573,251,18,100,548,471,1107,0.251,0.314,0.359,0.674,1948,4.41,10,44,170,1148,1.412,4276,1593,90,186,0.985,
0.5,4.4,713,246,20,217,686,418,1331,0.25,0.307,0.421,0.728,2307,4.05,10,43,174,1233,1.317,4304,1597,77,134,0.987,
0.481,4.62,748,294,33,161,706,478,1148,0.265,0.325,0.415,0.74,2338,4.31,10,40,178,1218,1.356,4345,1625,97,148,0.984,
0.599,4.25,689,272,30,171,657,567,1518,0.244,0.321,0.398,0.719,2186,3.36,21,48,134,1431,1.152,4384,1669,111,120,0.982,
0.469,3.84,622,260,27,136,595,404,1231,0.25,0.306,0.38,0.686,2103,3.98,9,37,162,1359,1.32,4358,1582,101,159,0.983,
0.395,3.95,640,257,27,167,613,496,1255,0.248,0.312,0.394,0.706,2194,4.33,8,35,177,1252,1.362,4360,1622,90,131,0.985,
0.503,4.16,669,303,29,141,640,533,1157,0.256,0.325,0.401,0.725,2179,3.67,10,38,161,1407,1.186,4298,1528,79,136,0.987,
0.42,4.55,737,274,49,186,702,388,1283,0.265,0.315,0.432,0.748,2409,5.04,4,36,183,1112,1.513,4279,1818,95,171,0.985,
0.46,4.28,689,289,49,151,660,455,1259,0.27,0.328,0.42,0.748,2355,4.64,12,35,193,1100,1.368,4341,1621,86,165,0.986,
0.531,4.5,729,278,26,230,691,486,1392,0.25,0.315,0.437,0.752,2383,3.57,13,39,148,1280,1.201,4323,1617,85,131,0.986,
0.586,4.47,724,300,42,139,689,383,973,0.269,0.322,0.412,0.734,2298,3.73,8,56,155,1160,1.282,4356,1611,88,138,0.985,
0.525,4.08,661,243,21,176,621,435,1150,0.246,0.307,0.396,0.702,2144,3.94,12,46,166,1221,1.264,4322,1491,93,108,0.984,
0.568,4.12,667,263,26,187,638,563,1258,0.25,0.326,0.413,0.739,2222,3.44,21,47,145,1396,1.184,4337,1727,75,133,0.988,
0.438,3.78,613,236,40,120,575,375,1150,0.26,0.31,0.384,0.694,2096,4.02,12,35,141,1152,1.319,4281,1588,77,162,0.987,
0.42,4.04,655,274,34,145,624,412,1299,0.251,0.307,0.393,0.7,2155,4.28,7,40,176,1260,1.358,4305,1678,116,164,0.981,
0.512,4.3,696,277,44,156,661,439,1264,0.247,0.305,0.399,0.704,2182,4.07,12,45,163,1046,1.33,4329,1637,86,150,0.986,
0.556,4.22,683,295,17,177,654,488,1290,0.244,0.312,0.4,0.712,2211,3.43,14,50,152,1337,1.179,4388,1599,88,131,0.986,
0.537,4.72,764,272,19,212,737,554,1227,0.251,0.323,0.421,0.744,2343,4.03,4,48,182,1370,1.297,4373,1594,93,135,0.985,
0.42,4.28,694,277,46,146,661,475,1119,0.251,0.312,0.395,0.707,2212,4.14,15,28,172,1179,1.299,4334,1642,126,154,0.979,
0.389,3.86,626,272,37,130,586,387,1274,0.249,0.303,0.382,0.684,2110,4.69,7,35,191,1153,1.448,4309,1585,117,145,0.981,
0.605,4.3,697,292,27,140,661,461,1322,0.26,0.323,0.396,0.719,2228,3.21,13,54,110,1338,1.239,4469,1868,122,177,0.981,
0.457,4.01,650,260,36,148,623,426,1327,0.243,0.3,0.385,0.685,2100,4.09,6,41,171,1393,1.31,4321,1566,92,138,0.985,
0.469,4.05,656,262,22,198,624,478,1336,0.249,0.311,0.411,0.722,2279,4.16,12,45,181,1283,1.313,4389,1685,94,155,0.985,
0.519,4.3,696,288,39,136,663,457,1159,0.267,0.326,0.406,0.732,2260,3.72,18,41,155,1165,1.229,4333,1674,78,145,0.987,
0.617,3.99,647,288,39,137,619,506,1267,0.253,0.321,0.394,0.716,2163,2.94,15,62,123,1329,1.254,4394,1617,96,159,0.984,
0.494,3.98,644,278,32,167,612,436,1310,0.252,0.314,0.406,0.72,2226,3.74,12,60,175,1355,1.232,4360,1408,95,118,0.984,
0.543,4.64,751,279,32,172,707,503,1233,0.257,0.325,0.413,0.739,2278,4.24,9,45,171,1095,1.363,4328,1695,119,169,0.981,
0.574,5.5,891,308,17,232,852,570,1151,0.269,0.34,0.457,0.797,2518,3.8,10,34,173,1117,1.214,4323,1592,88,145,0.985,
0.512,4.34,703,265,13,177,665,539,1344,0.251,0.321,0.403,0.724,2185,3.62,13,41,145,1342,1.206,4304,1533,90,125,0.985,
0.395,3.8,615,259,47,118,573,398,1165,0.248,0.302,0.376,0.678,2086,4.26,4,35,154,1278,1.34,4333,1645,101,147,0.983,
0.488,3.54,573,240,22,123,545,472,1369,0.241,0.305,0.36,0.665,1969,3.38,13,54,121,1301,1.265,4365,1527,85,143,0.986,
0.593,4.35,705,264,16,211,681,401,1285,0.256,0.311,0.422,0.734,2363,3.43,13,53,151,1174,1.241,4384,1604,87,156,0.986,
0.438,3.91,634,282,20,123,601,535,1337,0.244,0.316,0.369,0.684,2046,4.01,7,36,154,1213,1.324,4397,1610,92,155,0.985,
0.451,3.79,614,270,31,157,590,442,1477,0.239,0.3,0.385,0.684,2118,3.91,11,37,115,1311,1.3,4390,1668,103,137,0.983,
0.451,4.07,660,279,32,155,625,417,1362,0.253,0.31,0.398,0.708,2208,4.29,6,36,140,1152,1.405,4323,1682,107,170,0.982,
0.469,3.67,595,254,20,131,562,415,1252,0.238,0.296,0.365,0.661,1969,3.59,13,44,163,1290,1.237,4338,1588,72,120,0.988,
0.525,4.13,669,284,23,142,644,504,1189,0.253,0.317,0.389,0.706,2167,3.56,15,40,135,1450,1.268,4405,1599,116,139,0.981,
0.407,4.66,755,307,41,186,721,397,1281,0.276,0.327,0.445,0.772,2498,4.84,4,24,173,1074,1.439,4293,1808,106,166,0.983,
0.556,4.67,757,325,26,155,731,443,1144,0.277,0.331,0.426,0.757,2399,4.01,8,41,127,1244,1.332,4362,1538,101,153,0.983,
0.432,3.88,629,240,19,163,596,495,1442,0.242,0.309,0.383,0.692,2084,4.11,3,31,139,1137,1.335,4316,1704,106,151,0.983,
0.549,4.02,651,286,29,95,604,380,985,0.263,0.314,0.376,0.69,2085,3.51,14,53,128,1168,1.259,4352,1512,104,122,0.983,
0.605,4.77,773,304,31,155,729,492,1266,0.259,0.322,0.406,0.728,2295,3.58,13,46,126,1342,1.221,4447,1480,83,127,0.986,
0.58,4.43,718,302,38,134,686,519,1246,0.265,0.333,0.406,0.738,2256,3.4,16,47,142,1373,1.206,4394,1707,107,145,0.983,
0.475,3.98,645,254,36,122,614,501,1419,0.253,0.317,0.378,0.694,2091,3.78,16,42,114,1190,1.33,4373,1700,97,154,0.984,
0.506,4.01,650,297,28,150,617,423,1197,0.25,0.311,0.397,0.708,2169,3.67,9,45,167,1246,1.247,4373,1602,99,130,0.984,
0.432,4.41,715,316,27,128,675,544,1329,0.254,0.324,0.389,0.713,2166,4.57,7,38,147,1031,1.391,4305,1579,97,136,0.984,
0.488,3.88,629,275,19,125,602,516,1264,0.239,0.308,0.364,0.673,1994,3.49,11,42,141,1303,1.284,4391,1617,104,158,0.983,
0.519,3.91,633,247,26,147,591,452,1133,0.245,0.307,0.38,0.687,2089,3.75,10,48,164,1370,1.232,4359,1474,92,107,0.984,
0.543,4.5,729,253,33,146,686,586,1104,0.244,0.32,0.381,0.7,2111,3.22,13,31,147,1244,1.145,4390,1634,111,150,0.982,
0.451,3.82,619,251,27,125,584,443,1306,0.242,0.302,0.363,0.665,2036,3.79,12,40,134,1255,1.306,4405,1673,83,133,0.987,
0.543,4.21,682,275,30,156,659,520,1244,0.259,0.33,0.404,0.734,2239,3.47,7,48,128,1228,1.263,4369,1838,109,148,0.983,
0.475,3.3,535,224,30,109,500,468,1294,0.226,0.292,0.342,0.634,1810,3.27,10,41,117,1284,1.225,4316,1560,101,124,0.983,
0.537,3.91,634,247,32,136,600,396,1232,0.244,0.3,0.376,0.676,2047,3.17,9,51,137,1317,1.173,4356,1608,82,139,0.986,
0.543,4.1,665,257,42,132,636,427,1245,0.255,0.311,0.388,0.699,2144,3.5,12,46,133,1211,1.169,4347,1699,100,155,0.984,
0.556,3.82,619,275,21,105,585,471,1133,0.253,0.32,0.369,0.689,2003,3.5,23,55,123,1221,1.236,4346,1617,88,145,0.985,
0.475,3.78,612,263,24,117,586,527,1124,0.247,0.317,0.367,0.684,2023,3.56,22,37,145,1437,1.212,4391,1309,88,96,0.985,
0.414,3.93,637,260,28,111,597,417,1162,0.256,0.314,0.375,0.689,2049,4.49,17,33,160,1110,1.413,4279,1413,106,155,0.982,
0.512,4.46,723,282,24,177,690,502,1151,0.259,0.323,0.414,0.736,2296,4,16,45,151,1199,1.31,4329,1528,87,130,0.985,
0.593,4.23,686,265,27,152,635,517,1304,0.253,0.321,0.393,0.714,2178,3.03,19,45,110,1288,1.158,4412,1625,100,139,0.984,
0.5,4.23,685,302,31,130,647,519,1142,0.259,0.323,0.391,0.715,2222,3.92,7,38,176,1218,1.301,4485,1733,75,135,0.988,
0.593,4.25,688,247,21,181,656,542,1384,0.249,0.321,0.402,0.723,2186,3.18,12,53,127,1232,1.196,4351,1680,85,141,0.986,
0.525,4.6,745,298,14,212,719,416,1125,0.26,0.313,0.431,0.744,2422,4.2,6,57,202,1169,1.315,4359,1614,54,165,0.991,
0.599,5.27,853,363,29,178,819,581,1308,0.277,0.349,0.446,0.795,2521,3.79,8,33,156,1294,1.3,4362,1516,80,142,0.987,
0.407,3.72,602,297,18,172,576,439,1230,0.238,0.3,0.392,0.693,2156,4,6,39,160,1184,1.293,4344,1602,100,129,0.983,
0.389,3.69,598,237,19,148,574,411,1207,0.249,0.302,0.378,0.68,2104,3.98,5,40,182,1249,1.329,4365,1555,121,155,0.98,
0.556,4.31,698,274,20,155,664,585,1245,0.249,0.327,0.391,0.718,2149,3.38,17,43,170,1296,1.173,4421,1643,76,131,0.988,
0.568,4.6,745,290,23,171,711,562,1283,0.255,0.327,0.41,0.737,2240,3.82,16,38,147,1379,1.327,4324,1503,98,135,0.983,
0.457,4.36,706,283,36,159,673,427,1204,0.27,0.323,0.418,0.741,2343,4.44,5,35,136,1064,1.436,4308,1855,90,162,0.986,
0.574,4.91,796,292,23,176,767,531,1073,0.283,0.346,0.434,0.78,2491,3.61,12,39,128,1428,1.252,4388,1508,76,136,0.987,
0.315,3.77,610,266,16,148,566,426,1535,0.24,0.299,0.375,0.674,2049,4.79,5,32,191,1084,1.49,4320,1635,125,168,0.979,
0.531,4,648,254,34,112,620,422,1048,0.26,0.315,0.379,0.694,2101,3.45,12,52,155,1208,1.267,4345,1520,85,136,0.986,
0.481,4.52,733,270,39,164,696,523,1221,0.264,0.329,0.414,0.743,2316,4.23,12,41,167,1200,1.378,4373,1500,112,135,0.981,
0.568,4.01,649,281,17,138,618,476,1146,0.264,0.326,0.396,0.722,2176,3.25,22,46,127,1292,1.228,4351,1723,109,160,0.982,
